Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,A,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,B,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,C,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,D,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,E,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,F,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,G,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,H,ZINC000893101964,FRESH00014649046,ZINC000611664196,ZINC000885048835,FRESH00010608284,FRESH00020289192,REAL250000548538,ZINC001240411747,FRESH00014134848,REAL250003324764,FRESH00012962804,ZINC000850008207,ZINC001335091110,REAL300007318908,ZINC001364774273,ZINC000273900063,ZINC000949397098,REAL250003774401,FRESH00004674769,ZINC000183202483,REAL250003958539,REAL250001448407,REAL300007260658,Empty
cmpd,I,REAL250003296134,FRESH00010267028,FRESH00002410346,ZINC001320848619,ZINC000891943247,REAL300016493575,REAL250002155324,ZINC000751938095,ZINC000833624464,REAL250002852032,ZINC001434309614,ZINC001327823432,ZINC001119059028,REAL250001652488,FRESH00020236831,REAL250004627335,ZINC000359659274,ZINC001365141527,ZINC001240776402,ZINC000904346960,REAL300019621104,ZINC001156036512,Empty,Empty
