Type,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
cmpd,A,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,B,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,C,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,D,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,E,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,F,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,G,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,H,REAL250004627335,REAL250004627335,ZINC000949397098,ZINC000359659274,ZINC000359659274,REAL250003774401,ZINC001365141527,ZINC001365141527,FRESH00004674769,ZINC001240776402,ZINC001240776402,ZINC000183202483,ZINC000904346960,ZINC000904346960,REAL250003958539,REAL300019621104,REAL300019621104,REAL250001448407,ZINC001156036512,ZINC001156036512,REAL300007260658,Empty,Empty,Empty
cmpd,I,REAL250004627335,ZINC000949397098,ZINC000949397098,ZINC000359659274,REAL250003774401,REAL250003774401,ZINC001365141527,FRESH00004674769,FRESH00004674769,ZINC001240776402,ZINC000183202483,ZINC000183202483,ZINC000904346960,REAL250003958539,REAL250003958539,REAL300019621104,REAL250001448407,REAL250001448407,ZINC001156036512,REAL300007260658,REAL300007260658,Empty,Empty,Empty
